,0,1,2,3
0,goods_id,goods_name,url,是否牛皮癣
1,97307,元太祖厨房多规格自动开盖玻璃油瓶,https://f.mengtuiapp.com/upload/oss/1/201902/a175da209d8e46a3-800x800.jpg,0
2,137425,冬季新款加绒加厚保暖修身弹力男士针织衫条纹显瘦韩版男式毛衣男,https://f.mengtuiapp.com/upload/oss/1/202010/0F2DB0631F272D1881095872776D97E4.jpg,0
3,178089,宜洁（yekee）点麻搓澡巾手套去角质洗澡巾1片装,https://f.mengtuiapp.com/upload/oss/1/201904/0a6da90776ce0525-800x800.jpg,0
4,417087,2条或4条装南极人男士内裤男平角裤冰丝莫代尔青年四角短裤头性感,https://f.mengtuiapp.com/upload/oss/1/201905/2d8c4f335399a6dd-800x800.jpg,0
5,1350191,【叫花鸡鸡500g*1袋】宝聚源叫花子鸡500g/袋多规格可选 扒鸡手撕鸡童子鸡熟食下酒菜,https://f.mengtuiapp.com/upload/oss/1/201907/0111299562bf01b7-800x800.jpg,0
6,1651307,HC抖音同款万能清洁泥汽车内饰除尘笔记本电脑键盘清洁软胶,https://f.mengtuiapp.com/upload/oss/1/201908/fb0b1df9d627ecfe-800x800.jpg,0
7,3212563,有芙【不保温包退】不锈钢保温杯男女学生杯子大容量韩版简约便携水杯,https://f.mengtuiapp.com/upload/oss/1/201909/6995d6d1fb650377-400x400.jpg,0
8,11029890,十二生肖编织手链男日韩版潮人女学生个性夜光皮绳时尚简约手环,https://f.mengtuiapp.com/upload/oss/1/201910/108244/c13f2e80_43c6_48db_b24c_d7b61c89d92a.jpg,1
9,11170185,2019秋季新款百褶裙A字裙裤高腰韩版短裙女蕾丝半身裙子大码显瘦,https://f.mengtuiapp.com/upload/oss/1/201910/110870/3788e181_46e5_4f68_8493_1809ccc37703.jpg,1
10,11335011,佳能M50电池微单反EOSM2M10M50M100kissX7100D相机LP-E12,https://f.mengtuiapp.com/upload/oss/1/201910/122080/f5af3b83_b620_4641_9896_fbcc3a7a71b1.jpg,0
11,12348582,美帮汇日美指甲刀单个装大号指甲剪不锈指甲钳修甲刀成人家用剪指甲包邮,https://f.mengtuiapp.com/upload/oss/1/201910/120671/88267eab_7304_4841_9812_8367dae1896a.jpg,0
12,13070228,万利达A1小蜜蜂扩音器教师喇叭无线户外播放器耳麦导游教学,https://f.mengtuiapp.com/upload/oss/1/201910/124353/0b7564f3_6055_421b_b674_bff97435cb92.jpg,1
13,13345266,皮卡丘儿童公仔毛绒玩具睡觉抱枕玩偶公仔布娃娃生日礼物送男女友网红,https://f.mengtuiapp.com/upload/oss/1/201910/128070/7830705d_eb28_4e77_8e28_23905e442dc1.jpg,0
14,13872763,采琪采经典系列原生竹浆抽纸1件12包/30包/60包240张家用面巾纸,https://f.mengtuiapp.com/upload/oss/1/201910/102385/e30f1742_2f64_4632_8303_c06e503bf1e3.png,0
15,13961313,吉象乐秋冬新款老北京女棉鞋时尚百搭防滑运动鞋平底休闲耐磨中年妈妈鞋,https://f.mengtuiapp.com/upload/oss/1/201910/112843/cb63e83a_ee73_4ac6_a3f7_13fd8b4e4260.jpg,0
16,14687476,美帮汇爱仕达倾享保温杯-不锈钢水杯男女士学生商务大容量便携杯子500ml,https://f.mengtuiapp.com/upload/oss/1/201910/120671/10c0666f_2fc9_42f4_bb1a_17b10945403d.jpg,1
17,27433037,插卡外放mp3随身听学生版看小说视频录音学英语小MP4p5歌曲播放器,https://f.mengtuiapp.com/upload/oss/1/201911/132023/f58047bf_6fe2_4d79_9e59_b9111a4fd32b.jpg,1
18,28600999,冬季新款男鞋男士一脚蹬黑色豆豆鞋春季低帮社会青年小伙鞋休闲鞋,https://f.mengtuiapp.com/upload/oss/1/201911/134161/04d7b49e_1b8a_4403_83cc_bb4561022654.jpg,0
19,32366840,蚝爱你农家特产水磨手工年糕辣炒火锅果蔬圆白年糕500g,https://f.mengtuiapp.com/upload/oss/1/201911/F732BA61AABB0B2E076DE743A08FDD51.jpg,0
20,35456715,【浪立净】10-40颗洗衣凝珠持久留香家庭洗衣神器超浓缩去污抗菌,https://f.mengtuiapp.com/upload/oss/1/201911/9F5F98EF996C4DDCDEBEBD74841B2E39.jpg,0
21,36870549,陶瓷卷发棒大卷内扣空气刘海卷发器,https://f.mengtuiapp.com/upload/oss/1/201912/F645E849991D281BF348B84D63FDA4EA.jpg,0
22,37546413,南糖三色【特厚700克】羊羔绒PU皮裤女冬加厚加绒高腰紧身保暖踩脚打底裤,https://f.mengtuiapp.com/upload/oss/1/201911/614955EB93B5D162A0A182C905EF53D0.jpg,0
23,37714355,南糖三色秋季夜光男鞋子新款韩版潮流高帮帆布鞋涂鸦百搭男士运动休闲鞋子,https://f.mengtuiapp.com/upload/oss/1/201911/AE1E565E437D5CF35527D10AC6349A8A.jpg,0
24,39746199,婴儿电动吸鼻器宝宝新生儿吸鼻涕鼻腔清洁器下单就赠进口生理盐水,https://f.mengtuiapp.com/upload/oss/1/202001/96AC3AB3FFD9BAD0E7375C953CAEEC91.jpg,0
25,40084547,隔脏睡袋旅行旅游便携式防脏床单酒店宾馆出差卧铺睡袋,https://f.mengtuiapp.com/upload/oss/1/202001/72B8D3301C1B5B8BBE7A7176B5F64337.jpg,0
26,40434472,OLO儿童泳衣女童连体分体裙式泳衣连体平角裤中大童游泳衣宝宝泳衣,https://f.mengtuiapp.com/upload/oss/1/201911/5FB1306917798764647E17C5C6E017DC.jpg,0
27,40470264,OLO泳裤男加肥加大码游泳裤宽松成人速干沙滩泳衣短裤泡温泉游泳裤男,https://f.mengtuiapp.com/upload/oss/1/201911/41B357D1892068040AAE5CC77F82CCAB.jpg,0
28,40989391,恩威万牛初乳咀嚼片牛初乳奶片儿童青少年成人免疫球蛋白咀嚼片,https://f.mengtuiapp.com/upload/oss/1/202007/D8B0897EB0DECCB56A41DD8556038F9C.jpg,0
29,41144013,新款充电式带led灯电蚊拍 三层大网面苍蝇拍灭蚊拍蚊虫拍,https://f.mengtuiapp.com/upload/oss/1/202005/4288AF0DE37101B98A0E57A5DF81F2C5.jpg,0
30,41470706,【买2瓶送2张面膜】缤肌氨基酸泡沫温和洗面奶控油祛痘除螨深层清洁毛孔洁面乳男女,https://f.mengtuiapp.com/upload/oss/1/202005/C9243B75698AC40B6FFD50577AC64EA9.jpg,0
31,42091815,LED头灯强光可充电超亮远射头戴式家用学生防水夜钓鱼灯矿灯手电,https://f.mengtuiapp.com/upload/oss/1/202006/4FDD77622331DFA3DD5DB18D046D9F76.jpg,0
32,42127439,中老年纯棉吊带小背心内衣女全棉大码老人文胸胸罩妈妈背心薄款夏,https://f.mengtuiapp.com/upload/oss/1/202004/A8B8E9CB736F354D0B4D5850E0F140CA.jpg,0
33,42729738,电脑椅家用办公椅老板椅可躺升降按摩转椅搁脚真皮艺椅子包邮,https://f.mengtuiapp.com/upload/oss/1/202004/BE6B882501FB1A583737F9220A933C29.jpg,0
34,42906950,meisikou/魅丝蔻13支白月光化妆刷套装全套眼影刷腮红散粉刷子彩妆工具,https://f.mengtuiapp.com/upload/oss/1/202007/D4AB3D139FA6E0A79E3B1E11F8802C6E.jpg,0
35,42934333,直板老人手机老年移动联通电信超长待机触摸屏手写老人机老年手机,https://f.mengtuiapp.com/upload/oss/1/201911/F0455060BB1E92C537627D2CDEC3B113.jpg,0
36,43276821,4条装男士平角内裤青年内裤性感男四角内裤透气柔软时尚潮,https://f.mengtuiapp.com/upload/oss/1/201912/35C8AD6A4188B3DD452A77B902D46232.jpg,0
37,43842771,全自动感应烘手器酒店卫生间烘手机高速干手器洗手间烘干机干手机,https://f.mengtuiapp.com/upload/oss/1/202008/DC28AA8D6C8DC98EF4D39D9FCA798CDC.jpg,0
38,44005797,锦迦虎儿童运动鞋男童网鞋透气2020秋季新款中大童时尚撞色休闲鞋,https://f.mengtuiapp.com/upload/oss/1/202008/44B0109BAA09D7CEFF99031EAB3853AC.jpg,0
39,44356515,传奇保罗长袖t恤男2020秋季新款T恤男装韩版圆领秋衣服潮流上衣内搭纯色印花打底衫休闲T恤ZL-2076,https://f.mengtuiapp.com/upload/oss/1/202008/0B86C3F6AAED5CE543288F07E66782B0.jpg,0
40,44381344,女童装秋装运动套装5春秋款2男女宝宝1秋季3岁洋气婴儿童韩版衣服,https://f.mengtuiapp.com/upload/oss/1/201911/562569A2B3301D759980FE8D6EA5D7BF.jpeg,0
41,44537985,2020秋冬季薄款超软糯浅色宽松显瘦牛仔裤高腰九分卷边直筒裤女,https://f.mengtuiapp.com/upload/oss/1/202007/C2C1204D9608D502D541DA84E6670C3C.jpg,0
42,44878662,牛仔外套男秋冬季韩版学生潮流皮卡丘牛仔衣男士秋装宽松休闲夹克,https://f.mengtuiapp.com/upload/oss/1/202008/C1C7B4A8E83E53E2A107238AA48311F4.jpg,0
43,44950157,CESHI 策士插花大花瓶景德镇陶瓷仿古青花粉彩客厅电视柜酒店工艺装饰品摆件,https://f.mengtuiapp.com/upload/oss/1/202009/2966D6EACDC173F6FE5DE6E368CDA36B.jpg,0
44,44965536,806#云感棉柔软舒适薄杯性感蕾丝滑滑杯文胸聚拢调整型女士内衣,https://f.mengtuiapp.com/upload/oss/1/202009/1DFDEF6AF209A1F3752660696ECE882D.jpg,0
45,45032840,老爹鞋2020秋季新款鞋子女学生韩版百搭厚底休闲旅游跑步潮运动鞋,https://f.mengtuiapp.com/upload/oss/1/201912/DADE3699518EC4CC47DF12ECA623314F.jpg,0
46,45142028,运动套装男春秋季休闲连帽卫衣男青年一套运动衣服男装大码两件套,https://f.mengtuiapp.com/upload/oss/1/202002/1BE6538994FC6AD0A45364C578FCFAA5.jpg,0
47,45176594,电饭煲小2人煮饭家用特价 小电锅单人锅迷你小电饭锅电热锅多功能,https://f.mengtuiapp.com/upload/oss/1/202009/A05DE6140CC597AB437F9953F2498456.jpg,0
48,45342607,日系学院风撞色条纹海魂长袖毛衣韩国港风男女宽松BF风ins针织衫,https://f.mengtuiapp.com/upload/oss/1/201911/505F3380D54832AB48BE0BB094E7B797.jpg,0
49,45448808,桓霖加绒加厚女士卫衣2020新款秋冬韩版时尚好质量宽松中年带帽外套潮,https://f.mengtuiapp.com/upload/oss/1/201911/48E25857264A9BC3B0E553F48E7C898E.jpg,0
50,45697965,雪地靴女短筒靴秋冬款保暖加厚百搭女鞋棉鞋防滑短筒,https://f.mengtuiapp.com/upload/oss/1/201912/3048BA069C56BD8FE0A54F2E4158ADF3.jpg,0
